year,recipient_name,purpose_code,climate_adaptation,usd_disbursement,usd_disbursement_deflated
2018,Armenia,14020,2,0.079075,0.082302
2018,Tajikistan,24030,2,0.48153,0.501183
2018,Morocco,14020,2,17.817538,18.542984
2018,Jordan,14020,2,6.506561,6.613438
2018,Bosnia and Herzegovina,99810,2,0,0
2018,Mongolia,32210,2,0,0
2018,Turkmenistan,32161,2,0.974861,1.014649
2018,Ukraine,31162,2,15.458515,16.08944
2018,Kazakhstan,99810,2,22.378143,23.291485
2018,Montenegro,16030,2,3.859318,4.016832
2018,Serbia,14020,2,3.915968,4.075795
2018,Türkiye,99810,2,82.713325,86.089191
2018,Morocco,32210,2,0,0
2018,Kyrgyzstan,32210,2,0,0
2018,Moldova,24030,2,0,0
2018,Moldova,99810,2,5.368819,5.587942
2018,Tajikistan,99810,2,0,0
2018,Kyrgyzstan,99810,2,0.017703,0.018426
2018,Kazakhstan,23210,2,0,0
2018,Türkiye,14020,2,0,0
2018,Türkiye,32161,2,36.586805,38.080061
2018,Tajikistan,14020,2,2.053582,2.137397
2018,Tunisia,14020,2,0.236044,0.245678
2018,Jordan,16030,2,0,0
2018,Morocco,24030,2,0,0
2018,Tajikistan,23210,2,0,0
2018,Morocco,23210,2,0.129824,0.135123
2018,Moldova,14020,2,1.952083,2.031755
2018,Ukraine,31191,2,31.330107,32.608816
2018,Serbia,99810,2,0,0
2018,Türkiye,32171,2,0,0
2018,Jordan,99810,2,19.992919,20.808911
2018,Mongolia,23210,2,0,0
2018,Montenegro,99810,2,0,0
2018,Georgia,23210,2,1.046855,1.089581
2018,Kosovo,99810,2,0,0
2018,Ukraine,32161,2,3.245604,3.37807
2018,Türkiye,23210,2,44.450608,46.264817
2018,Türkiye,31161,2,0,0
2018,Türkiye,32164,2,14.162634,14.740669
2018,Türkiye,32163,2,0,0
2018,Serbia,16030,2,36.268146,37.748396
2018,Jordan,33210,2,24.73386,25.743349
2018,Armenia,24030,2,0,0
2018,Uzbekistan,99810,2,0,0
2018,Morocco,21040,2,13.033164,13.5651
2018,Albania,14020,2,0,0
2018,Turkmenistan,31161,2,0,0
2018,Georgia,33210,2,6.362563,6.622245
2018,Bosnia and Herzegovina,23210,2,0,0
