year,purpose_code,recipient_name,usd_disbursement,usd_disbursement_deflated,climate_adaptation
2020,16010,Bolivia,0.488659,0.46951,"Blank, 0, or 1"
2020,16010,India,532.458174,523.601496,"Blank, 0, or 1"
2020,16010,North Macedonia,3.711126,3.666118,"Blank, 0, or 1"
2020,16010,Ukraine,5.355882,5.48329,"Blank, 0, or 1"
2020,16010,Nigeria,4.138022,3.972845,"Blank, 0, or 1"
2020,16010,Ghana,13.27498,13.672967,"Blank, 0, or 1"
2020,16010,"Africa, regional",3.599504,3.645983,"Blank, 0, or 1"
2020,16010,Kenya,19.851093,19.730617,"Blank, 0, or 1"
2020,16010,Philippines,2.228607,2.067987,"Blank, 0, or 1"
2020,16010,Brazil,2.63107,2.563554,"Blank, 0, or 1"
2020,16010,Peru,1.291771,1.425852,"Blank, 0, or 1"
2020,16010,Georgia,4.547616,4.759304,"Blank, 0, or 1"
2020,16010,"South of Sahara, regional",159.101008,159.164624,"Blank, 0, or 1"
2020,16010,Guatemala,1.22575,1.381242,"Blank, 0, or 1"
2020,16010,Mozambique,61.528432,61.134429,"Blank, 0, or 1"
2020,16010,Türkiye,6.372572,6.195944,"Blank, 0, or 1"
2020,16010,Albania,3.977065,3.804035,"Blank, 0, or 1"
2020,16010,Papua New Guinea,0.179646,0.196077,"Blank, 0, or 1"
2020,16010,Zimbabwe,4.32758,4.478166,"Blank, 0, or 1"
2020,16010,Bosnia and Herzegovina,2.026161,2.075223,"Blank, 0, or 1"
2020,16010,Belarus,1.370874,1.38432,"Blank, 0, or 1"
2020,16010,Armenia,2.181518,2.113421,"Blank, 0, or 1"
2020,16010,"Bilateral, unspecified",102.80499,107.934455,"Blank, 0, or 1"
2020,16010,Egypt,3.463966,3.483383,"Blank, 0, or 1"
2020,16010,Moldova,2.36659,2.530013,"Blank, 0, or 1"
2020,16010,Sierra Leone,6.533601,6.50846,"Blank, 0, or 1"
2020,16010,West Bank and Gaza Strip,82.249751,82.83658,"Blank, 0, or 1"
2020,16010,Burkina Faso,5.908461,6.033929,"Blank, 0, or 1"
2020,16010,Lesotho,1.675987,1.653588,"Blank, 0, or 1"
2020,16010,"Europe, regional",5.072218,5.017933,"Blank, 0, or 1"
2020,16010,Serbia,2.768242,2.76089,"Blank, 0, or 1"
2020,16010,Myanmar,5.903022,5.509586,"Blank, 0, or 1"
2020,16010,Nepal,7.870312,8.05018,"Blank, 0, or 1"
2020,16010,Burundi,0.425813,0.425886,"Blank, 0, or 1"
2020,16010,Senegal,7.009852,6.994324,"Blank, 0, or 1"
2020,16010,Lebanon,17.822286,17.794737,"Blank, 0, or 1"
2020,16010,Yemen,74.118082,75.212491,"Blank, 0, or 1"
2020,16010,Syrian Arab Republic,11.549418,11.298902,"Blank, 0, or 1"
2020,16010,Somalia,11.320518,11.463391,"Blank, 0, or 1"
2020,16010,"South Asia, regional",2.571343,2.314452,"Blank, 0, or 1"
2020,16010,Nicaragua,1.072564,1.189474,"Blank, 0, or 1"
2020,16010,Malawi,50.327295,50.511395,"Blank, 0, or 1"
2020,16010,Cambodia,9.363276,9.21690299999999,"Blank, 0, or 1"
2020,16010,Zambia,42.111847,42.400415,"Blank, 0, or 1"
2020,16010,China (People's Republic of),3.640059,3.899967,"Blank, 0, or 1"
2020,16010,Liberia,4.803983,4.940874,"Blank, 0, or 1"
2020,16010,"Eastern Africa, regional",0.00271,0.00398,"Blank, 0, or 1"
2020,16010,South Africa,2.893834,2.965623,"Blank, 0, or 1"
2020,16010,Sudan,97.36113,97.305383,"Blank, 0, or 1"
2020,16010,Botswana,0.155051,0.141317,"Blank, 0, or 1"
2020,16010,"Middle East, regional",0.780463,0.78669,"Blank, 0, or 1"
2020,16010,Kazakhstan,0.057958,0.051958,"Blank, 0, or 1"
2020,16010,Afghanistan,14.286185,15.570804,"Blank, 0, or 1"
2020,16010,Sri Lanka,1.552162,1.396185,"Blank, 0, or 1"
2020,16010,Palau,0.099111,0.08233,"Blank, 0, or 1"
2020,16010,Cameroon,2.202815,2.19844,"Blank, 0, or 1"
2020,16010,Samoa,0.177954,0.152647,"Blank, 0, or 1"
2020,16010,Thailand,1.834251,1.529688,"Blank, 0, or 1"
2020,16010,Kyrgyzstan,20.938333,20.675201,"Blank, 0, or 1"
2020,16010,Tonga,0.093205,0.086283,"Blank, 0, or 1"
2020,16010,Viet Nam,12.937689,13.111125,"Blank, 0, or 1"
2020,16010,Antigua and Barbuda,0.000901,0.000732,"Blank, 0, or 1"
2020,16010,Niue,0.001133,0.000921,"Blank, 0, or 1"
2020,16010,Côte d'Ivoire,0.155256,0.151189,"Blank, 0, or 1"
2020,16010,Tunisia,31.772246,31.321132,"Blank, 0, or 1"
2020,16010,"Asia, regional",6.293572,5.664224,"Blank, 0, or 1"
2020,16010,Malaysia,0.377566,0.31493,"Blank, 0, or 1"
2020,16010,Tajikistan,0.926774,0.88072,"Blank, 0, or 1"
2020,16010,Bangladesh,129.47241,128.207465,"Blank, 0, or 1"
2020,16010,Lao People's Democratic Republic,2.936727,3.207818,"Blank, 0, or 1"
2020,16010,Eswatini,1.324105,1.305585,"Blank, 0, or 1"
2020,16010,Maldives,0.029125,0.023671,"Blank, 0, or 1"
2020,16010,Mongolia,1.540576,1.417918,"Blank, 0, or 1"
