year,sector_code,recipient_name,usd_disbursement,usd_disbursement_deflated
2021,151,Timor-Leste,31.275707,30.659557
2021,151,Tunisia,373.847267,354.026205
2021,151,Burundi,38.112255,37.116053
2021,151,Kiribati,3.800186,3.743883
2021,151,Rwanda,139.77423,133.57733
2021,151,Peru,52.6757,50.373045
2021,151,"Southern Africa, regional",7.090694,7.009519
2021,151,El Salvador,60.8033250000001,61.2593379999999
2021,151,Lebanon,86.251962,85.2793920000001
2021,151,"South & Central Asia, regional",9.595285,9.686562
2021,151,Lesotho,11.118956,10.671347
2021,151,Lao People's Democratic Republic,40.757464,39.066708
2021,151,Bolivia,52.182521,49.716169
2021,151,Belarus,44.599575,43.646214
2021,151,Nigeria,423.001114,411.732848
2021,151,Guinea,28.911953,27.957654
2021,151,Namibia,9.374789,8.786656
2021,151,Mongolia,40.935803,39.149452
2021,151,Yemen,56.235571,55.206301
2021,151,Montenegro,32.218277,30.420289
2021,151,Venezuela,38.711627,40.090296
2021,151,Gambia,17.222096,16.660479
2021,151,"Eastern Africa, regional",48.95125,46.383451
2021,151,Argentina,13.567605,13.02365
2021,151,Ecuador,31.5129,30.620276
2021,151,Guinea-Bissau,17.035075,15.873478
2021,151,"Central Asia, regional",35.554055,34.825387
2021,151,Botswana,2.575523,2.534311
2021,151,"South America, regional",114.748068,107.574233
2021,151,Mexico,106.859897,111.419821
2021,151,Haiti,78.4274070000001,77.878379
2021,151,Paraguay,15.699556,15.311871
2021,151,"Oceania, regional",88.219943,85.0481990000001
2021,151,Côte d'Ivoire,134.145771,130.3027
2021,151,Armenia,41.649423,41.136357
2021,151,"Far East Asia, regional",32.2537,32.469267
2021,151,Malaysia,3.948837,3.845037
2021,151,Azerbaijan,17.047877,16.709143
2021,151,Togo,22.164847,20.952406
2021,151,Algeria,10.039884,9.38619300000001
2021,151,Kyrgyzstan,88.081544,85.907384
2021,151,Costa Rica,15.007745,15.05032
2021,151,"Central America, regional",23.064919,23.151721
2021,151,Fiji,51.919065,50.403526
2021,151,"Middle Africa, regional",19.976659,18.632435
2021,151,"Micronesia, regional",0.026816,0.024105
2021,151,"Melanesia, regional",0.026816,0.024105
2021,151,Uzbekistan,139.839134,136.255113
2021,151,Solomon Islands,62.402606,61.291452
2021,151,Central African Republic,44.533562,42.833718
2021,151,"Polynesia, regional",0.026816,0.024105
2021,151,"Caribbean, regional",18.56014,18.779216
2021,151,Kazakhstan,8.282424,8.224365
2021,151,Iran,2.445037,2.262672
2021,151,Samoa,9.459969,9.365514
2021,151,Mauritania,29.242585,27.743307
2021,151,Libya,73.936269,71.678993
2021,151,Djibouti,9.341037,8.865333
2021,151,Eritrea,4.947083,4.715785
2021,151,Vanuatu,25.595106,24.908136
2021,151,Tajikistan,16.367529,16.133263
2021,151,Democratic People's Republic of Korea,2.200193,2.13562
2021,151,Panama,13.316037,13.882773
2021,151,Chad,45.142507,42.844927
